month,geo,unit,value,geo_label,unit_label
2017-12,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-01,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-02,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-03,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-04,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2018-05,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2018-06,EU27,RCH_A,1.1,European Union - 27 countries (from 2020),Annual rate of change
2018-07,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-08,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-09,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-10,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-11,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2018-12,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2019-01,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2019-02,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-03,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-04,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-05,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2019-06,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-07,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-08,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-09,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-10,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-11,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2019-12,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2020-01,EU27,RCH_A,1.7,European Union - 27 countries (from 2020),Annual rate of change
2020-02,EU27,RCH_A,1.5,European Union - 27 countries (from 2020),Annual rate of change
2020-03,EU27,RCH_A,1.6,European Union - 27 countries (from 2020),Annual rate of change
2020-04,EU27,RCH_A,1.5,European Union - 27 countries (from 2020),Annual rate of change
2020-05,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2020-06,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2020-07,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2020-08,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2020-09,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2020-10,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2020-11,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2020-12,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2021-01,EU27,RCH_A,1.1,European Union - 27 countries (from 2020),Annual rate of change
2021-02,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2021-03,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2021-04,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2021-05,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2021-06,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2021-07,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2021-08,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2021-09,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2021-10,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2021-11,EU27,RCH_A,1.2,European Union - 27 countries (from 2020),Annual rate of change
2021-12,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2022-01,EU27,RCH_A,1.3,European Union - 27 countries (from 2020),Annual rate of change
2022-02,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2022-03,EU27,RCH_A,1.4,European Union - 27 countries (from 2020),Annual rate of change
2022-04,EU27,RCH_A,1.5,European Union - 27 countries (from 2020),Annual rate of change
2022-05,EU27,RCH_A,1.7,European Union - 27 countries (from 2020),Annual rate of change
2022-06,EU27,RCH_A,1.9,European Union - 27 countries (from 2020),Annual rate of change
2022-07,EU27,RCH_A,2.1,European Union - 27 countries (from 2020),Annual rate of change
2022-08,EU27,RCH_A,2.2,European Union - 27 countries (from 2020),Annual rate of change
2022-09,EU27,RCH_A,2.2,European Union - 27 countries (from 2020),Annual rate of change
2022-10,EU27,RCH_A,2.3,European Union - 27 countries (from 2020),Annual rate of change
2022-11,EU27,RCH_A,2.5,European Union - 27 countries (from 2020),Annual rate of change
2022-12,EU27,RCH_A,2.6,European Union - 27 countries (from 2020),Annual rate of change
2023-01,EU27,RCH_A,2.7,European Union - 27 countries (from 2020),Annual rate of change
2023-02,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2023-03,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2023-04,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2023-05,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2023-06,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2023-07,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2023-08,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2023-09,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2023-10,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2023-11,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2023-12,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2024-01,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2024-02,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2024-03,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2024-04,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2024-05,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2024-06,EU27,RCH_A,3.0,European Union - 27 countries (from 2020),Annual rate of change
2024-07,EU27,RCH_A,3.3,European Union - 27 countries (from 2020),Annual rate of change
2024-08,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2024-09,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2024-10,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2024-11,EU27,RCH_A,3.3,European Union - 27 countries (from 2020),Annual rate of change
2024-12,EU27,RCH_A,3.3,European Union - 27 countries (from 2020),Annual rate of change
2025-01,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-02,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-03,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-04,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-05,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-06,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-07,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-08,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-09,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2025-10,EU27,RCH_A,3.1,European Union - 27 countries (from 2020),Annual rate of change
2025-11,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2025-12,EU27,RCH_A,3.2,European Union - 27 countries (from 2020),Annual rate of change
2010-12,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-01,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-02,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-03,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-04,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-05,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-06,NL,RCH_A,1.6,Netherlands,Annual rate of change
2011-07,NL,RCH_A,1.8,Netherlands,Annual rate of change
2011-08,NL,RCH_A,1.8,Netherlands,Annual rate of change
2011-09,NL,RCH_A,1.8,Netherlands,Annual rate of change
2011-10,NL,RCH_A,1.8,Netherlands,Annual rate of change
2011-11,NL,RCH_A,1.8,Netherlands,Annual rate of change
2011-12,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-01,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-02,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-03,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-04,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-05,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-06,NL,RCH_A,1.8,Netherlands,Annual rate of change
2012-07,NL,RCH_A,2.8,Netherlands,Annual rate of change
2012-08,NL,RCH_A,2.8,Netherlands,Annual rate of change
2012-09,NL,RCH_A,2.8,Netherlands,Annual rate of change
2012-10,NL,RCH_A,2.8,Netherlands,Annual rate of change
2012-11,NL,RCH_A,2.8,Netherlands,Annual rate of change
2012-12,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-01,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-02,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-03,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-04,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-05,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-06,NL,RCH_A,2.8,Netherlands,Annual rate of change
2013-07,NL,RCH_A,4.7,Netherlands,Annual rate of change
2013-08,NL,RCH_A,4.7,Netherlands,Annual rate of change
2013-09,NL,RCH_A,4.7,Netherlands,Annual rate of change
2013-10,NL,RCH_A,4.7,Netherlands,Annual rate of change
2013-11,NL,RCH_A,4.7,Netherlands,Annual rate of change
2013-12,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-01,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-02,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-03,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-04,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-05,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-06,NL,RCH_A,4.7,Netherlands,Annual rate of change
2014-07,NL,RCH_A,4.4,Netherlands,Annual rate of change
2014-08,NL,RCH_A,4.4,Netherlands,Annual rate of change
2014-09,NL,RCH_A,4.4,Netherlands,Annual rate of change
2014-10,NL,RCH_A,4.4,Netherlands,Annual rate of change
2014-11,NL,RCH_A,4.4,Netherlands,Annual rate of change
2014-12,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-01,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-02,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-03,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-04,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-05,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-06,NL,RCH_A,4.4,Netherlands,Annual rate of change
2015-07,NL,RCH_A,2.4,Netherlands,Annual rate of change
2015-08,NL,RCH_A,2.4,Netherlands,Annual rate of change
2015-09,NL,RCH_A,2.4,Netherlands,Annual rate of change
2015-10,NL,RCH_A,2.2,Netherlands,Annual rate of change
2015-11,NL,RCH_A,2.2,Netherlands,Annual rate of change
2015-12,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-01,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-02,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-03,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-04,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-05,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-06,NL,RCH_A,2.2,Netherlands,Annual rate of change
2016-07,NL,RCH_A,1.9,Netherlands,Annual rate of change
2016-08,NL,RCH_A,1.9,Netherlands,Annual rate of change
2016-09,NL,RCH_A,1.9,Netherlands,Annual rate of change
2016-10,NL,RCH_A,2.0,Netherlands,Annual rate of change
2016-11,NL,RCH_A,2.0,Netherlands,Annual rate of change
2016-12,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-01,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-02,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-03,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-04,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-05,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-06,NL,RCH_A,2.0,Netherlands,Annual rate of change
2017-07,NL,RCH_A,1.6,Netherlands,Annual rate of change
2017-08,NL,RCH_A,1.6,Netherlands,Annual rate of change
2017-09,NL,RCH_A,1.6,Netherlands,Annual rate of change
2017-10,NL,RCH_A,1.6,Netherlands,Annual rate of change
2017-11,NL,RCH_A,1.6,Netherlands,Annual rate of change
2017-12,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-01,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-02,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-03,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-04,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-05,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-06,NL,RCH_A,1.6,Netherlands,Annual rate of change
2018-07,NL,RCH_A,2.3,Netherlands,Annual rate of change
2018-08,NL,RCH_A,2.3,Netherlands,Annual rate of change
2018-09,NL,RCH_A,2.3,Netherlands,Annual rate of change
2018-10,NL,RCH_A,2.3,Netherlands,Annual rate of change
2018-11,NL,RCH_A,2.3,Netherlands,Annual rate of change
2018-12,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-01,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-02,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-03,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-04,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-05,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-06,NL,RCH_A,2.3,Netherlands,Annual rate of change
2019-07,NL,RCH_A,2.6,Netherlands,Annual rate of change
2019-08,NL,RCH_A,2.6,Netherlands,Annual rate of change
2019-09,NL,RCH_A,2.6,Netherlands,Annual rate of change
2019-10,NL,RCH_A,2.5,Netherlands,Annual rate of change
2019-11,NL,RCH_A,2.5,Netherlands,Annual rate of change
2019-12,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-01,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-02,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-03,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-04,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-05,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-06,NL,RCH_A,2.5,Netherlands,Annual rate of change
2020-07,NL,RCH_A,2.9,Netherlands,Annual rate of change
2020-08,NL,RCH_A,2.9,Netherlands,Annual rate of change
2020-09,NL,RCH_A,2.9,Netherlands,Annual rate of change
2020-10,NL,RCH_A,2.9,Netherlands,Annual rate of change
2020-11,NL,RCH_A,2.9,Netherlands,Annual rate of change
2020-12,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-01,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-02,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-03,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-04,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-05,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-06,NL,RCH_A,2.9,Netherlands,Annual rate of change
2021-07,NL,RCH_A,0.8,Netherlands,Annual rate of change
2021-08,NL,RCH_A,0.8,Netherlands,Annual rate of change
2021-09,NL,RCH_A,0.8,Netherlands,Annual rate of change
2021-10,NL,RCH_A,0.8,Netherlands,Annual rate of change
2021-11,NL,RCH_A,0.8,Netherlands,Annual rate of change
2021-12,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-01,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-02,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-03,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-04,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-05,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-06,NL,RCH_A,0.8,Netherlands,Annual rate of change
2022-07,NL,RCH_A,3.0,Netherlands,Annual rate of change
2022-08,NL,RCH_A,3.0,Netherlands,Annual rate of change
2022-09,NL,RCH_A,3.0,Netherlands,Annual rate of change
2022-10,NL,RCH_A,3.0,Netherlands,Annual rate of change
2022-11,NL,RCH_A,3.0,Netherlands,Annual rate of change
2022-12,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-01,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-02,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-03,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-04,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-05,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-06,NL,RCH_A,3.0,Netherlands,Annual rate of change
2023-07,NL,RCH_A,2.0,Netherlands,Annual rate of change
2023-08,NL,RCH_A,2.0,Netherlands,Annual rate of change
2023-09,NL,RCH_A,2.0,Netherlands,Annual rate of change
2023-10,NL,RCH_A,2.0,Netherlands,Annual rate of change
2023-11,NL,RCH_A,2.0,Netherlands,Annual rate of change
2023-12,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-01,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-02,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-03,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-04,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-05,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-06,NL,RCH_A,2.0,Netherlands,Annual rate of change
2024-07,NL,RCH_A,5.4,Netherlands,Annual rate of change
2024-08,NL,RCH_A,5.4,Netherlands,Annual rate of change
2024-09,NL,RCH_A,5.4,Netherlands,Annual rate of change
2024-10,NL,RCH_A,5.4,Netherlands,Annual rate of change
2024-11,NL,RCH_A,5.4,Netherlands,Annual rate of change
2024-12,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-01,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-02,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-03,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-04,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-05,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-06,NL,RCH_A,5.4,Netherlands,Annual rate of change
2025-07,NL,RCH_A,4.9,Netherlands,Annual rate of change
2025-08,NL,RCH_A,4.9,Netherlands,Annual rate of change
2025-09,NL,RCH_A,4.9,Netherlands,Annual rate of change
2025-10,NL,RCH_A,4.9,Netherlands,Annual rate of change
2025-11,NL,RCH_A,4.9,Netherlands,Annual rate of change
2025-12,NL,RCH_A,4.9,Netherlands,Annual rate of change
